pChEMBL Value,Canomicalsmiles
5.47,COc1cc([C@@H]2c3cc4c(cc3C[C@H]3COC(=O)[C@@H]32)OCO4)cc(OC)c1OC(=O)N[C@@H](Cc1ccccc1)C(=O)NC1CC1
4.99,C/C=C/c1ccc(Nc2ncnc3cc(OC)c(OCCCN4CCOCC4)cc23)cc1
4.97,CN1CCCN(c2c3c4ccccc4nc-3oc3ccc(Cl)cc23)CC1
4.7,O=C(Nc1cccc(F)c1)Nc1nc2ccccc2[nH]1
4.55,CCCCn1c2cc(OCCCc3ccccc3)ccc2c2ccnc(C)c21
4.68,COc1cc(CN(C(=O)Nc2ccc(C#N)cc2)n2cnnc2)cc(OC)c1OC
6.37,COc1ncc(-c2ccc3nc(NC(=O)NCCN4CCOCC4)sc3c2)cc1NS(=O)(=O)c1ccc(F)cc1
4.42,CC(=O)O[C@H](CC/C(C)=C/CC/C(C)=C/CC1=CC(=O)C(C)=CC1=O)[C@@](C)(O)CCC=C(C)C
4.89,CCCC[n+]1ccn(C(C)c2ccc3oc4ccccc4c3c2)c1.[I-]
4.59,OCc1ccc(-c2nn(Cc3ccccc3)c3ccccc23)o1
4.12,N#CC1=C(N)Oc2c(c(C(F)(F)F)nn2-c2ccccc2)C1c1cccs1
5.18,O=C(Nc1cccc(S(=O)(=O)C(F)(F)F)c1)C(Cl)Cl
5.36,COc1cccc(/C=C/CNC(=O)c2c(O)n(-c3ccccc3)c(=S)n(-c3ccccc3)c2=O)c1
5.2,COc1cc2ncnc(N3CCc4ccccc43)c2cc1NC(=O)C=C(C)C
4.67,O=C(COc1ccccc1)Nc1nnc(-c2ccc(O)c(O)c2)s1
4.05,O=c1c2ccccc2oc2cc(OCCCCN3CCCCC3)cc(O)c12
4.71,CS(=O)(=O)c1ccc(-c2nc3ccccn3c2Sc2cccc3ccccc23)cc1
5.0,CCN(CC)C(=O)CCn1c(=O)c(-c2ccc(OC)cc2)cc2c(OC)cc(OC)cc21
4.99,CN1CCC(NC(=O)c2ccc(Nc3ncc(F)c(NC4CCCC4)n3)cc2)CC1
7.38,CC[C@H]1O[C@H](O[C@@H]2c3cc4c(cc3[C@@H](c3cc(OC)c(O)c(OC)c3)[C@H]3C(=O)OC[C@@H]32)OCO4)CC[C@H]1O
4.72,Brc1ccc(-c2cc(COc3ccccc3-c3nc4ccccc4s3)on2)cc1
5.2,C=C1C(=O)[C@]23C[C@H]1CC[C@H]2[C@]12CO[C@H](CC1=O)C(C)(C)C2=C(O)C3=O
6.19,O=C(Nc1ccc(-c2cccnc2)cc1)Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1
5.0,Cc1ccc(Cn2c(/C=C3\SC(=S)N(CC(=O)O)C3=O)nc3ccc(Cl)cc32)cc1
4.04,C=CCc1ccc(O)c(-c2ccc(O)c(CC(O)CO)c2)c1
4.98,COc1ccnc2c1C(=O)C1N=CC=C(c3ccccc3)C1C2=O
4.43,CCN(CC)CCCn1c2cc(=O)c3ccccc3c-2nc2ccccc21
4.99,CC(C)=CC[C@@H](OC(=O)/C=C\C(=O)c1ccc(C)cc1C)C1=CC(=O)c2c(O)ccc(O)c2C1=O
5.39,CC(C)=CCC12OC(C)(C)C3CC(C=C4C(=O)c5c(O)cc(O)cc5OC431)C2=O
4.53,N#CC1=C(N)Oc2c(N)cc3nc4ccccc4nc3c2C12C(=O)N(Cc1cnnn1-c1ccccc1Cl)c1ccccc12
4.2,O=C1OCC2=C1C1(C(=O)N(Cc3ccc4c(c3)OCO4)c3ccc(Br)cc31)c1c(-c3ccccc3)n[nH]c1N2
5.15,N#Cc1cc2ccc(N3CCNCC3)cc2c2ccsc12
4.78,COc1cc([C@@H]2c3cc4c(cc3[C@@H](NC(=O)c3cnccn3)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O
6.18,CC(C)=CCC[C@]1(C)/C=C/[C@@H](OC(=O)C=C(C)C)[C@](C)(O)/C=C/C(=O)/C(CN2CCOCC2)=C\C1
4.98,COc1ccc2c3c(n(CCCCl)c(=O)c2c1)-c1cc2c(cc1C3=O)OCO2
6.52,O=C1C=CC(=O)c2c1ccc1c2c(=O)[nH]c2ccc(Cl)cc21
5.8,O=C1C=CC2(Oc3cccc4cccc(c34)O2)[C@]2(CC=CC2=O)O1
7.4,CCCCCn1ccc2c3c(=O)cc(-c4ccccc4)[nH]c3ccc21
5.18,O=C(Nc1nc2ccc(Cl)cc2s1)c1cc(-c2ccc(F)cc2)n2nc(-c3ccccc3)cc2n1
5.1,Cc1cc2c(cc1C)[n+](CC(=O)c1ccc(Br)cc1)cn2Cc1c2c(cc3c1OCC3)OCC2.[Br-]
4.84,O=C(CCCCCC(=O)Nc1ccc(O)c(C(=O)Nc2ccccc2)c1)NO
