pChEMBL Value,Canomicalsmiles
1.0,CCOC(=O)c1c(Nc2cc(OC)cc(OC)c2)c2cc(OC)ccc2n1C
0.0,COc1ccc(-c2cccn2-c2cc(OC)c(OC)c(OC)c2)cc1Cl
0.0,CCC#CC(=O)Oc1ccc2[nH]ccc2c1
1.0,COc1cc(C(=O)/C(C)=C/c2c[nH]c3ccccc23)cc(OC)n1
1.0,O=c1[nH]c(-c2cccc(F)c2)cc2cc(F)ccc12
0.0,COc1ccc(CCN=C2NC(=O)C(=Cc3c[nH]c4ccccc34)S2)cc1
1.0,COc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)cc1O
0.0,COC(=O)Nc1nc2cc(C(=O)c3cccs3)ccc2[nH]1
0.0,CCCCCCCCC[C@@H](O)CC(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(C)C)C[C@H](O)c1cc(C)cc(O)c1C(O)c1c(O)cccc1O
0.0,COc1ccc2c(c1OCCCCSc1nnc(NC(=O)c3cccc(C(F)(F)F)c3)s1)C(=O)O[C@@H]2[C@H]1c2c(cc3c(c2OC)OCO3)CCN1C
0.0,COc1cc(N(Cc2ccc(C)cc2)C(=O)CSC(=S)N2CCN(C(=O)OC(C)(C)C)CC2)cc(OC)c1OC
0.0,C[C@]12CC[C@@H]3c4ccc(OCCCCC(=O)Nc5ccccc5N)cc4CC[C@H]3[C@@H]1CC[C@@H]2OS(N)(=O)=O
1.0,COc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)cc1O
0.0,CCOP(=O)(OCC)C(Nc1ccc(CC(=O)Nc2cc(C=CC(=O)c3ccc(OC)c4c3OC(C)(C)C=C4)ccc2OC)cc1)c1ccccc1
0.0,CC(=O)OC1=C(c2ccc3c(c2)OCO3)Oc2cc3ccccc3cc2-n2cccc21
0.0,COc1ccc(-c2cccc(-c3cc(OC)c(OC)c(OC)c3)n2)cc1OCCCC(=O)NO
1.0,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O
0.0,COc1cc(-c2cccn2-c2ccc(N(C)C)cc2)cc(OC)c1OC
0.0,COc1ccc(NC(=O)CSc2nnc(-c3cc(OC)c(OC)c(OC)c3)[nH]2)cc1
1.0,COc1ccc(C(=O)c2cc(N)c(OC)c(OC)c2)cc1
0.0,COc1cc(Nc2ncccc2NC(=O)c2cn(Cc3cccc(Oc4ccccc4)c3)nn2)cc(OC)c1
0.0,COc1ccc(-c2cncnc2-c2cc(OC)c(OC)c(OC)c2)cc1
1.0,COc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)cc1O
0.0,COc1cc(C2=NC3=NC4=C(C(=O)CCC4)C(c4cc(Br)cc(Br)c4)N3N2)cc(OC)c1OC
0.0,COc1cc(-c2nnc(SCC(=O)Nc3ccc(N4CCCCC4)cc3)n2N)cc(OC)c1OC
1.0,COc1ccc(S(=O)(=O)N(Cc2ccccc2)c2cc(OC)c(OC)c(OC)c2)cc1
1.0,COc1ccc([C@H]2[C@H](c3ccccc3)C(=O)N2c2cc(OC)c(OC)c(OC)c2)cc1O
